target,holdout,metric,utility_threshold,baseline_D,baseline_metric,required_metric,minimum_D,achieved_metric,achieved_utility_retention,storage_reduction_pct,compression_ratio
class_label,superfamily_holdout,test_macro_f1,0.995,1280,0.8717741099106132,0.8674152393610601,512,0.8767790996081953,1.0057411543204642,60.0,2.5
class_label,superfamily_holdout,test_balanced_accuracy,0.95,1280,0.8378453525403395,0.7959530849133225,256,0.8215042101880771,0.980496230834585,80.0,5.0
class_label,superfamily_holdout,test_balanced_accuracy,0.99,1280,0.8378453525403395,0.8294668990149361,512,0.8385805684978435,1.0008775079497365,60.0,2.5
class_label,superfamily_holdout,test_balanced_accuracy,0.995,1280,0.8378453525403395,0.8336561257776378,512,0.8385805684978435,1.0008775079497365,60.0,2.5
class_label,fold_holdout,test_accuracy,0.95,1280,0.8871866295264624,0.8428272980501392,128,0.8662952646239555,0.9764521193092621,90.0,10.0
class_label,fold_holdout,test_accuracy,0.99,1280,0.8871866295264624,0.8783147632311978,512,0.8871866295264624,1.0,60.0,2.5
class_label,fold_holdout,test_accuracy,0.995,1280,0.8871866295264624,0.8827506963788301,512,0.8871866295264624,1.0,60.0,2.5
class_label,fold_holdout,test_macro_f1,0.95,1280,0.7599801810802995,0.7219811720262845,32,0.7690878859721949,1.0119841347427625,97.5,40.0
class_label,fold_holdout,test_macro_f1,0.99,1280,0.7599801810802995,0.7523803792694965,32,0.7690878859721949,1.0119841347427625,97.5,40.0
class_label,fold_holdout,test_macro_f1,0.995,1280,0.7599801810802995,0.756180280174898,32,0.7690878859721949,1.0119841347427625,97.5,40.0
class_label,fold_holdout,test_balanced_accuracy,0.95,1280,0.8839587971679705,0.839760857309572,128,0.8728424791017528,0.9874243934198832,90.0,10.0
class_label,fold_holdout,test_balanced_accuracy,0.99,1280,0.8839587971679705,0.8751192091962908,256,0.8806033244618825,0.9962040394678594,80.0,5.0
class_label,fold_holdout,test_balanced_accuracy,0.995,1280,0.8839587971679705,0.8795390031821307,256,0.8806033244618825,0.9962040394678594,80.0,5.0
